No.,Name,Place,Photographer
1, "aspen-trees.jpg", "Aspens, Northern New Mexico", "Ansel Adams"
2, "bristlecone-pine.jpg", "Jeffrey Pine, bristlecone pine, Sentinel Dome", "Ansel Adams"
3, "valley-view.jpg", "Yosemite Valley View (Early Summer)", "Ansel Adams"
4, "sand-dunes.jpg", "Sand dunes, 1950", "Ansel Adams"
5, "half-dome.jpg", "Moon and Half Dome, Yosemite National Park, 1960", "Ansel Adams"
6, "snake-river.jpg", "Tetons and The Snake River, Grand Teton National Park", "Ansel Adams"
